#additional runs to fill in some gaps
277510,V-foil_HF__T=300_K__Ei=3.2698048_meV,,2018-06-25T21:15:13.568008666,2018-06-25T21:53:54.037755666,833.456206994,833.456206994,3.2698048,82.852214766183252,42897.651059099997,45297.651059099997,300.345138027,300.287,300.409,0.0220481269457,300.345138027,300.287,300.409,0.0220481269457,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277511,V-foil_HF__T=300_K__Ei=0.54_meV,,2018-06-25T21:54:35.287217666,2018-06-25T22:33:16.173625666,833.395325678,833.395325678,0.54,170.56860886816594,125535.375141,128935.375141,300.303898416,300.242,300.369,0.0214959179745,300.303898416,300.242,300.369,0.0214959179745,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277512,V-foil_HF__T=300_K__Ei=4.5_meV,,2018-06-25T22:33:52.673150666,2018-06-25T23:12:57.675910666,833.4916625,833.4916625,4.5,72.926230150255989,35131.547024400003,38531.547024400003,300.261991724,300.19,300.371,0.0375543122469,300.261991724,300.19,300.371,0.0375543122469,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277513,V-foil_HF__T=300_K__Ei=6.0_meV,,2018-06-25T23:13:48.641912666,2018-06-25T23:52:27.328349666,833.343141383,833.343141383,6.0,64.309983807406468,29833.333333300001,33233.333333299997,300.220781912,300.144,300.291,0.0233856446886,300.220781912,300.144,300.291,0.0233856446886,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
277514,V-foil_HF__T=300_K__Ei=7.9_meV,,2018-06-25T23:53:19.611001666,2018-06-26T00:32:02.380718666,833.462234719,833.462234719,7.9,55.993283408514301,25546.090558799999,28946.090558799999,300.185966054,300.125,300.227,0.0169023815639,300.185966054,300.125,300.227,0.0169023815639,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
WRONG!!!! 277525,V-foil_HF__T=300_K__Ei=10_meV,,2018-06-26T07:32:24.701883666,2018-06-26T08:11:55.704304666,833.409861542,833.409861542,10.0,42.639579614021144,22266.698743699999,25666.698743699999,300.155091241,300.086,300.21,0.0216402418949,300.155091241,300.086,300.21,0.0216402418949,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
WRONG!!!! 277528,V-foil_HF__T=300_K__Ei=11_meV,,2018-06-26T10:15:01.458012666,2018-06-26T10:54:07.644091666,833.347474517,833.347474517,11.0,39.495432019271192,21046.641465699999,24446.641465699999,300.169602205,300.106,300.239,0.0265459751421,300.169602205,300.106,300.239,0.0265459751421,-65.0,-65.0,-65.0,0.0,0.0,0.0,0.0,0.0,178.003969984,178.003969984,178.003969984,0.0,
#additional run energies 11, 10, 7.9, 6.0, 4.5, 0.54
WRONG!!!! [277528, 277525, 277514, 277513, 277512, 277511]
#additional run energies 7.9, 6.0, 4.5, 0.54
[277514, 277513, 277512, 277511]

#fill in runs for AI
