2018-09-24 13:09:06 Line Log cleared
2018-09-24 13:09:06 Starting IPTS-21153 on 2018-09-24
2018-09-24 19:06:41 Set Incident Energy to 20.0 meV
2018-09-24 23:20:33 Set Title: closed shutter, Ei=20 meV, run_in_series=140
2018-09-24 23:22:21 Set Title: closed shutter, Ei=20 meV, run_in_series=141
2018-09-24 23:24:08 Set Title: closed shutter, Ei=20 meV, run_in_series=142
2018-09-24 23:25:56 Set Title: closed shutter, Ei=20 meV, run_in_series=143
2018-09-24 23:27:43 Set Title: closed shutter, Ei=20 meV, run_in_series=144
2018-09-24 23:29:31 Set Title: closed shutter, Ei=20 meV, run_in_series=145
2018-09-24 23:31:18 Set Title: closed shutter, Ei=20 meV, run_in_series=146
2018-09-24 23:33:06 Set Title: closed shutter, Ei=20 meV, run_in_series=147
2018-09-24 23:34:54 Set Title: closed shutter, Ei=20 meV, run_in_series=148
2018-09-24 23:36:41 Set Title: closed shutter, Ei=20 meV, run_in_series=149
2018-09-24 23:38:29 Set Title: closed shutter, Ei=20 meV, run_in_series=150
2018-09-24 23:40:17 Set Title: closed shutter, Ei=20 meV, run_in_series=151
2018-09-24 23:42:04 Set Title: closed shutter, Ei=20 meV, run_in_series=152
2018-09-24 23:43:52 Set Title: closed shutter, Ei=20 meV, run_in_series=153
2018-09-24 23:45:39 Set Title: closed shutter, Ei=20 meV, run_in_series=154
2018-09-24 23:47:27 Set Title: closed shutter, Ei=20 meV, run_in_series=155
2018-09-24 23:49:14 Set Title: closed shutter, Ei=20 meV, run_in_series=156
2018-09-24 23:51:02 Set Title: closed shutter, Ei=20 meV, run_in_series=157
2018-09-24 23:52:50 Set Title: closed shutter, Ei=20 meV, run_in_series=158
2018-09-24 23:54:38 Set Title: closed shutter, Ei=20 meV, run_in_series=159
2018-09-24 23:56:26 Set Title: closed shutter, Ei=20 meV, run_in_series=160
2018-09-24 23:58:14 Set Title: closed shutter, Ei=20 meV, run_in_series=161
2018-09-25 00:00:02 Set Title: closed shutter, Ei=20 meV, run_in_series=162
2018-09-25 00:01:50 Set Title: closed shutter, Ei=20 meV, run_in_series=163
2018-09-25 00:03:38 Set Title: closed shutter, Ei=20 meV, run_in_series=164
2018-09-25 00:05:25 Set Title: closed shutter, Ei=20 meV, run_in_series=165
2018-09-25 00:07:13 Set Title: closed shutter, Ei=20 meV, run_in_series=166
2018-09-25 00:09:01 Set Title: closed shutter, Ei=20 meV, run_in_series=167
2018-09-25 00:10:49 Set Title: closed shutter, Ei=20 meV, run_in_series=168
2018-09-25 00:12:36 Set Title: closed shutter, Ei=20 meV, run_in_series=169
2018-09-25 00:14:24 Set Title: closed shutter, Ei=20 meV, run_in_series=170
2018-09-25 00:16:12 Set Title: closed shutter, Ei=20 meV, run_in_series=171
2018-09-25 00:18:00 Set Title: closed shutter, Ei=20 meV, run_in_series=172
2018-09-25 00:20:15 Set Title: closed shutter, Ei=20 meV, run_in_series=173
2018-09-25 00:22:03 Set Title: closed shutter, Ei=20 meV, run_in_series=174
2018-09-25 00:23:51 Set Title: closed shutter, Ei=20 meV, run_in_series=175
2018-09-25 00:25:39 Set Title: closed shutter, Ei=20 meV, run_in_series=176
2018-09-25 00:27:27 Set Title: closed shutter, Ei=20 meV, run_in_series=177
2018-09-25 00:29:15 Set Title: closed shutter, Ei=20 meV, run_in_series=178
2018-09-25 00:31:03 Set Title: closed shutter, Ei=20 meV, run_in_series=179
2018-09-25 00:32:51 Set Title: closed shutter, Ei=20 meV, run_in_series=180
2018-09-25 00:34:38 Set Title: closed shutter, Ei=20 meV, run_in_series=181
2018-09-25 00:36:26 Set Title: closed shutter, Ei=20 meV, run_in_series=182
2018-09-25 00:38:14 Set Title: closed shutter, Ei=20 meV, run_in_series=183
2018-09-25 00:40:02 Set Title: closed shutter, Ei=20 meV, run_in_series=184
2018-09-25 00:41:50 Set Title: closed shutter, Ei=20 meV, run_in_series=185
2018-09-25 00:43:38 Set Title: closed shutter, Ei=20 meV, run_in_series=186
2018-09-25 00:45:25 Set Title: closed shutter, Ei=20 meV, run_in_series=187
2018-09-25 00:47:13 Set Title: closed shutter, Ei=20 meV, run_in_series=188
2018-09-25 00:49:01 Set Title: closed shutter, Ei=20 meV, run_in_series=189
2018-09-25 00:50:49 Set Title: closed shutter, Ei=20 meV, run_in_series=190
2018-09-25 00:52:37 Set Title: closed shutter, Ei=20 meV, run_in_series=191
2018-09-25 00:54:25 Set Title: closed shutter, Ei=20 meV, run_in_series=192
2018-09-25 00:56:13 Set Title: closed shutter, Ei=20 meV, run_in_series=193
2018-09-25 00:58:00 Set Title: closed shutter, Ei=20 meV, run_in_series=194
2018-09-25 00:59:48 Set Title: closed shutter, Ei=20 meV, run_in_series=195
2018-09-25 01:01:36 Set Title: closed shutter, Ei=20 meV, run_in_series=196
2018-09-25 01:03:23 Set Title: closed shutter, Ei=20 meV, run_in_series=197
2018-09-25 01:05:11 Set Title: closed shutter, Ei=20 meV, run_in_series=198
2018-09-25 01:06:58 Set Title: closed shutter, Ei=20 meV, run_in_series=199
2018-09-25 01:08:46 Set Title: closed shutter, Ei=20 meV, run_in_series=200
2018-09-25 01:11:05 Set Title: closed shutter, Ei=20 meV, run_in_series=201
2018-09-25 01:12:53 Set Title: closed shutter, Ei=20 meV, run_in_series=202
2018-09-25 01:14:40 Set Title: closed shutter, Ei=20 meV, run_in_series=203
2018-09-25 01:16:28 Set Title: closed shutter, Ei=20 meV, run_in_series=204
2018-09-25 01:18:16 Set Title: closed shutter, Ei=20 meV, run_in_series=205
2018-09-25 01:20:04 Set Title: closed shutter, Ei=20 meV, run_in_series=206
2018-09-25 01:21:52 Set Title: closed shutter, Ei=20 meV, run_in_series=207
2018-09-25 01:23:40 Set Title: closed shutter, Ei=20 meV, run_in_series=208
2018-09-25 01:25:27 Set Title: closed shutter, Ei=20 meV, run_in_series=209
2018-09-25 01:27:15 Set Title: closed shutter, Ei=20 meV, run_in_series=210
